student_id,minutes_watched,paid_in_q2
150717,5.35,0
150730,73.45,0
150732,116.53,0
150744,81.38,0
150745,1286.85,0
150748,6.8,0
150769,0.18,0
150775,0.1,0
150779,34.42,0
150784,5.02,0
150785,6.12,0
150824,0.48,0
150834,4.45,0
150835,23.3,0
150840,9.27,0
150853,0.05,0
150871,57.38,0
150878,25.62,0
150882,20.45,0
150887,0.3,0
150906,197.57,0
150907,0.93,0
150909,3.58,0
150929,1.37,0
150932,2.83,0
150934,0.8,0
150935,12.12,0
150936,50.1,0
150960,0.43,0
150973,2.33,0
150975,2.65,0
150982,62.58,0
150983,90.82,0
150986,59.08,0
150996,7.02,0
151004,0.55,0
151013,0.6,0
151031,7.95,0
151042,0.37,0
151045,16.87,0
151046,44.28,0
151070,0.12,0
151076,6.35,0
151078,2.73,0
151081,0.2,0
151085,1.23,0
151092,2.48,0
151098,1.07,0
151120,0.67,0
151135,39.53,0
151139,12.03,0
151158,7.23,0
151163,3.03,0
151169,0.05,0
151170,4.58,0
151178,1.03,0
151195,0.08,0
151202,62.98,0
151214,6.17,0
151225,24.32,0
151236,0.35,0
151241,57.13,0
151292,1.22,0
151305,50.87,0
151325,43.55,0
151326,23.2,0
151330,56.28,0
151333,85.02,0
151340,17.55,0
151352,0.68,0
151353,0.6,0
151360,0.1,0
151368,83.7,0
151370,1.6,0
151417,0.6,0
151421,27.3,0
151447,0.75,0
151451,2.6,0
151467,5.63,0
151475,6.78,0
151493,1.1,0
151518,0.95,0
151534,0.53,0
151545,61.03,0
151563,0.58,0
151576,0.17,0
151584,9.03,0
151587,0.62,0
151600,0.22,0
151605,0.63,0
151610,24.48,0
151613,0.88,0
151623,2.03,0
151624,4.37,0
151627,9.83,0
151659,20.25,0
151673,0.3,0
151696,8.52,0
151707,0.37,0
151711,2.57,0
151712,10.18,0
151715,0.07,0
151743,8.77,0
151753,0.62,0
151771,2.07,0
151790,0.12,0
151792,2.82,0
151797,6.85,0
151848,0.63,0
151885,1.7,0
151898,0.62,0
